ID;StudyID;LogID;UserID;Time;TouchID;TouchX;TouchY;TouchDeltaX;TouchDeltaY;FirstTouchX;FirstTouchY;AccelerationX,AccelerationY;AccelerationZ;RotationDegreeX;RotationDegreeY;RotationDegreeZ;TimeStamp;Potition
 ;12;89;9;35.29785;47;99.40356;76.40887;-0.1759872;-0.1759796;99.57954;76.58485;0.008902938;0.02024504;-0.9343207;89.45419;88.75875;178.644;2019/08/07 11:09:07;C
 ;12;90;9;35.33154;47;99.27816;76.03305;-0.1253967;-0.3758163;99.57954;76.58485;0.009634687;0.01841567;-0.974201;89.43346;88.91709;178.7778;2019/08/07 11:09:07;C
 ;12;91;9;35.46582;48;64.55833;72.44772;0;0;64.55833;72.44772;0.007073568;0.01451301;-0.9368818;89.56746;89.11254;179.0126;2019/08/07 11:09:07;C
 ;12;92;9;35.49951;48;64.18426;72.15909;-0.3740768;-0.2886353;64.55833;72.44772;0.008415106;0.01792783;-0.9976169;89.51678;88.9705;178.8629;2019/08/07 11:09:07;C
 ;12;93;9;37.11182;49;102.3697;38.77348;0;0;102.3697;38.77348;0.00817119;0.01182993;-0.8682194;89.46082;89.2194;179.0513;2019/08/07 11:09:08;C
 ;12;94;9;37.14551;49;102.3697;38.77348;0;0;102.3697;38.77348;0.008537063;0.02170854;-1.042375;89.53085;88.80696;178.7181;2019/08/07 11:09:08;C
 ;12;95;9;37.31348;50;99.00227;73.12122;0;0;99.00227;73.12122;0.0212207;0.02731861;-0.9843234;88.76544;88.41061;177.9872;2019/08/07 11:09:09;C
 ;12;96;9;37.34717;50;99.00227;73.12122;0;0;99.00227;73.12122;0.007683358;0.01548867;-0.9555414;89.53935;89.07138;178.9633;2019/08/07 11:09:09;C
 ;12;97;9;37.54834;51;99.00227;99.00227;0;0;99.00227;99.00227;0.004756365;0.01878154;-1.073353;89.74614;88.99754;178.9658;2019/08/07 11:09:09;C
 ;12;98;9;38.11963;52;96.11591;113.1455;0;0;96.11591;113.1455;0.009268813;0.02244028;-1.056889;89.49764;88.7837;178.684;2019/08/07 11:09:09;C
 ;12;99;9;38.15332;52;97.65579;112.9818;1.539879;-0.1636047;96.11591;113.1455;0.005122238;0.01329343;-0.9709082;89.69775;89.21558;179.1595;2019/08/07 11:09:09;C
 ;12;100;9;39.83154;53;64.75076;72.2553;0;0;64.75076;72.2553;0.006219861;0.01853763;-1.014447;89.64877;88.95313;178.8957;2019/08/07 11:09:11;C
 ;12;101;9;39.86523;53;64.75076;72.2553;0;0;64.75076;72.2553;0.007805316;0.01768392;-0.9852992;89.5462;88.97181;178.876;2019/08/07 11:09:11;C
 ;12;102;9;40.0332;54;88.9;85.67689;0;0;88.9;85.67689;0.01036644;0.01414714;-0.9373696;89.36646;89.13538;178.9281;2019/08/07 11:09:11;C
 ;12;103;9;40.06689;54;88.85189;85.67689;-0.04811096;0;88.9;85.67689;0.008049232;0.02048895;-1.002495;89.54006;88.82919;178.7421;2019/08/07 11:09:11;C
 ;12;104;9;40.26807;55;98.23257;36.75303;0;0;98.23257;36.75303;-0.001829371;0.01963525;-1.176042;90.08911;89.04347;179.0394;2019/08/07 11:09:11;C
 ;12;105;9;41.04053;56;100.0125;74.51628;0;0;100.0125;74.51628;0.005975945;0.01878154;-0.9813965;89.65118;88.90365;178.8495;2019/08/07 11:09:12;C
 ;12;106;9;41.44385;57;98.425;32.71212;0;0;98.425;32.71212;0.01597651;0.02768448;-1.006398;89.09085;88.42447;178.181;2019/08/07 11:09:13;C
 ;12;107;9;43.12305;58;99.29091;32.13485;0;0;99.29091;32.13485;0.02219637;0.03097735;-1.062865;88.80414;88.33094;177.9466;2019/08/07 11:09:14;C
