ID;StudyID;UserID;Age;Gender;PlayingHand;DominantHand;LongNails;DominantEye;Potition;TargetID;TargetSize;TargetDistance;ColliderSize;HitType;Outset;Goal;MistakeOccured;TargetCombition;RoundID;Repetition;Clockwise;TouchID;CrossTargets;Delay;ConditionID;TouchTime;LiftTime;DeltaHitTime;TargetX;TargetY;TouchX;TouchY;TouchOffsetX;TouchOffsetY;LiftX;LiftY;LiftOffsetX;LiftOffsetY;TouchDuration;TouchDeltaX;TouchDeltaY;RotationDegreeX;RotationDegreeY;RotationDegreeZ;TimeStamp
;12;13;23;M;R;R;No;R;C;21;7.2;40.00001;21.6;Center;W;N;No;WN;;;;65;False;1;;73.45215;73.55273;0.7060547;98.52122;73.89091;99.96439;75.91136;1.443176;2.020454;99.19469;75.43031;0.6734772;1.539398;0.1005859;;;89.84547;89.06576;179.0531;2019-08-07 13:00:28
;12;13;23;M;R;R;No;R;C;21;7.2;40.00001;21.6;Goal;W;N;No;WN;;;;66;False;1;;74.12402;74.22461;0.671875;98.52122;113.8909;99.29091;113.4341;0.7696915;-0.4568253;99.77197;114.4924;1.250748;0.6015167;0.1005859;;;89.85832;89.31288;179.2983;2019-08-07 13:00:29
;12;13;23;M;R;R;No;R;C;22;7.2;-1;21.6;Outset;N;S;No;NS;;;;67;False;1;;76.03906;76.13965;1.915039;98.52122;113.8909;99.00227;113.6265;0.4810562;-0.2643967;98.61742;113.1455;0.09620667;-0.7454605;0.1005859;;;89.67325;89.04102;178.9868;2019-08-07 13:00:31
;12;13;23;M;R;R;No;R;C;22;7.2;40.00001;21.6;Center;N;S;No;NS;;;;68;False;1;;76.77832;76.87891;0.7392578;98.52122;73.89091;98.04015;74.27576;-0.4810638;0.3848495;97.84772;74.08334;-0.6734924;0.1924286;0.1005859;;;89.67558;89.10429;179.0473;2019-08-07 13:00:32
;12;13;23;M;R;R;No;R;C;22;7.2;40;21.6;Goal;N;S;No;NS;;;;69;False;1;;77.38281;77.51758;0.6044922;98.52122;33.89091;96.30833;34.44394;-2.212883;0.5530319;96.40485;34.44424;-2.116364;0.5533371;0.1347656;;;89.84471;88.95529;178.9437;2019-08-07 13:00:32
;12;13;23;M;R;R;No;R;C;23;7.2;-1;21.6;Outset;W;S;No;WS;;;;70;False;1;;79.29785;79.39941;1.915039;58.52121;73.89091;58.88182;72.54394;0.3606071;-1.34697;58.49697;72.06288;-0.0242424;-1.828026;0.1015625;;;89.72475;88.96954;178.9334;2019-08-07 13:00:34
;12;13;23;M;R;R;No;R;C;23;7.2;40.00001;21.6;Center;W;S;No;WS;;;;71;False;1;;79.93652;80.03711;0.6386719;98.52122;73.89091;99.57954;74.37196;1.058327;0.4810562;99.48334;73.58324;0.9621201;-0.3076706;0.1005859;;;89.70475;88.91033;178.8712;2019-08-07 13:00:35
;12;13;23;M;R;R;No;R;C;23;7.2;40;21.6;Goal;W;S;No;WS;;;;72;False;1;;80.50781;80.5752;0.5712891;98.52122;33.89091;100.0606;34.32777;1.539391;0.4368668;99.86818;34.25151;1.346962;0.3606071;0.06738281;;;89.59927;89.12121;179.0343;2019-08-07 13:00:35
;12;13;23;M;R;R;No;R;C;24;7.2;-1;21.6;Outset;N;S;No;NS;;;;73;False;1;;82.38965;82.49023;1.881836;98.52122;113.8909;100.5417;113.8189;2.020447;-0.07198334;100.7341;114.1076;2.212868;0.2166519;0.1005859;;;89.65172;89.07597;179.0125;2019-08-07 13:00:37
;12;13;23;M;R;R;No;R;C;24;7.2;40.00001;21.6;Center;N;S;No;NS;;;;74;False;1;;83.02832;83.09473;0.6386719;98.52122;73.89091;99.38712;75.28599;0.8658981;1.395081;99.38712;75.18977;0.8658981;1.298866;0.06640625;;;89.8451;89.18325;179.1687;2019-08-07 13:00:38
;12;13;23;M;R;R;No;R;C;24;7.2;40;21.6;Goal;N;S;No;NS;;;;75;False;1;;83.53223;83.63281;0.5039063;98.52122;33.89091;96.40454;33.77045;-2.116676;-0.1204529;96.40454;33.28939;-2.116676;-0.6015167;0.1005859;;;89.76833;89.312;179.2742;2019-08-07 13:00:38
;12;13;23;M;R;R;No;R;C;25;7.2;-1;21.6;Outset;N;N;No;NN;;;;76;False;1;;85.3125;85.41309;1.780273;98.52122;113.8909;99.96439;114.1076;1.443176;0.2166519;99.29091;113.1455;0.7696915;-0.7454605;0.1005859;;;89.65425;89.06857;179.0065;2019-08-07 13:00:40
;12;13;23;M;R;R;No;R;C;25;7.2;40.00001;21.6;Center;N;N;No;NN;;;;77;False;1;;85.91699;86.01855;0.6044922;98.52122;73.89091;98.61742;72.2553;0.09620667;-1.635605;98.71364;72.35151;0.192421;-1.539398;0.1015625;;;89.90155;89.19128;179.1853;2019-08-07 13:00:41
